cui,natcode
4420783,102473
4283503,179310
4221136,102570
4736078,102605
4364411,103130
4420767,179347
4420813,103443
5026273,103513
4420791,179383
4532477,104243
4420830,179463
4611546,104421
4611554,104546
4420716,104582
5643775,105160
4420775,105419
4505618,105570
4505570,105936
3627692,106318
3695174,106559
3694918,106684
3627544,106746
3627595,106782
3627560,108017
3627382,108892
3627765,108963
3694829,109176
3694861,106817
3627170,106461
3694772,109265
3627641,106979
3627870,107001
3627412,107047
3627269,107083
3627161,107118
3694497,107154
3694810,107314
3694799,107190
3627358,107234
3695000,107270
3694527,107350
3627579,107403
3626913,107430
3627196,107485
3694667,107519
3694837,107546
3695093,107715
3627897,107582
3627374,107662
16384641,179837
16384650,179846
3695115,107733
3627099,107868
3694969,107920
3627200,107975
3627803,108035
3694632,108106
16367608,179855
3694926,108151
3627722,106363
15729467,179622
3626956,108204
3627218,108222
3694900,108240
3627625,108268
3626921,108348
3694756,108366
3694535,108400
16405078,179864
3627684,108455
3694675,108473
7367404,179604
3627757,106407
3694586,108491
3695298,108552
3694845,108598
3695085,108614
3694705,108632
3627862,108669
3627552,108696
3627390,108794
3627536,108874
3627773,108918
3695107,108945
3695301,106620
3626905,108712
14813046,179613
3627277,109096
3694780,109005
3695271,109041
3694802,106648
3694543,109354
3627528,109425
3627889,109504
4426581,109773
4337603,110063
4675450,109924
6044227,110116
7536970,110232
5819414,110571
4426468,110296
6304246,110535
7536902,110456
4484426,110688
16408686,114060
11383661,110740
4337352,110820
8845957,110875
4675469,110946
8033356,111006
4426450,111097
4484469,111220
4818631,111275
8033364,111417
4426476,111444
4550970,111550
7643534,111480
4337336,112904
7536937,111587
4337301,112245
7536945,111685
4484493,111783
4484418,111818
6304238,111863
7536953,111916
7579784,111989
4871210,112030
4426425,112076
4484434,112129
4426441,112263
4337310,112334
4818640,112370
4484400,112469
4426417,112548
6341597,112600
4426395,112664
7643062,112744
7536910,110027
4639830,112771
6752762,112806
6140720,112879
4484477,112959
6098316,112995
6752770,113153
4639822,113206
4484485,113233
6449913,113395
4871201,113466
4550961,113493
4550988,109826
4484450,113625
4484442,113698
7536961,113518
4550996,113607
7643526,113732
5870832,113849
7643054,113894
6341589,113929
7536929,113974
16359583,114079
4322823,114319
3675258,114809
5669309,114514
4323535,114925
5584644,117827
5669317,114710
4322971,118281
4375895,119331
6405259,119242
4436895,114854
4323322,119894
4323578,114970
4436844,115076
5902730,114603
4662981,115147
